TrackmanAbbreviation,Stadium,Level,League
VIL_WIL,Villanova,D1,BEAST
VIR_CAV,DavenportField,D1,ACC
VIR_KEY,FluorField,D1,SOCON
VIR_TEC,VATech,D1,ACC
WAK_DEA,DurhamAthleticPark,D1,ACC
WAS_COU,BaileyBraytonField,D1,PAC12
WAS_HUS,UofWashington,D1,PAC12
WES_HIL,NickDenesField,D1,CUSA
WES_MOU,MonogaliaCounty,D1,BIG12
WIC_SHO,DrPepper,D1,AMER
WIN_EAG,WinthropUniversity,D1,BSOU
WMI_BRO,FluorField,D1,BIG10
WOF_TER,FluorField,D1,SOCON
WRI_RAI,NischwitzField,D1,HORZ
XAV_MUS,HaydenField,D1,BEAST
YAL_BUL,GeorgeHWBush48Field,D1,IVY
